Season 1,Season 2,Season 3,Season 4,Season 5,Season 6,Season 7,Season 8
The Gang Gets Racist,Charlie Gets Crippled,The Gang Finds a Dumpster Baby,Mac and Dennis: Manhunters,The Gang Exploits the Mortgage Crisis,Mac Fights Gay Marriage,Frank's Pretty Woman,Pop-Pop: The Final Solution
Charlie Wants an Abortion,The Gang Goes Jihad,The Gang Gets Invincible,The Gang Solves the Gas Crisis,The Gang Hits the Road,Dennis Gets Divorced,The Gang Goes to the Jersey Shore,The Gang Recycles Their Trash
Underage Drinking: A National Concern,Dennis and Dee Go on Welfare,Dennis and Dee's Mom Is Dead,America's Next Top Paddy's Billboard Model Contest,The Great Recession,The Gang Buys a Boat,Frank Reynolds' Little Beauties,The Maureen Ponderosa Wedding Massacre
Charlie Has Cancer,Mac Bangs Dennis' Mom,The Gang Gets Held Hostage,Mac's Banging the Waitress,The Gang Gives Frank an Intervention,Mac's Big Break,Sweet Dee Gets Audited,Charlie and Dee Find Love
Gun Fever,Hundred Dollar Baby,The Aluminum Monster vs. Fatty Magoo,Mac & Charlie Die (Part 1),The Waitress Is Getting Married,Mac and Charlie: White Trash,Frank's Brother,The Gang Gets Analyzed
The Gang Finds a Dead Guy,The Gang Gives Back,The Gang Solves the North Korea Situation,Mac & Charlie Die (Part 2),The World Series Defense,Who Got Dee Pregnant?,The Storm of the Century,Charlie's Mom Has Cancer
Dennis and Dee Get a New Dad,The Gang Exploits a Miracle,The Gang Sells Out,Who Pooped the Bed?,The Gang Wrestles for the Troops,Dee Reynolds: Shaping America's Youth,Chardee MacDennis: The Game of Games,Frank's Back in Business
,The Gang Runs for Office,Sweet Dee's Dating a Retarded Person,Paddy's Pub: The Worst Bar in Philadelphia,Paddy's Pub: Home of the Original Kitten Mittens,Charlie Kelly: King of the Rats,The ANTI-Social Network,Charlie Rules the World
,Charlie Goes America All Over Everybody's Ass,Mac Is a Serial Killer,Dennis Reynolds: An Erotic Life,Mac and Dennis Break Up,Mac's Mom Burns Her House Down,The Gang Gets Trapped,The Gang Dines Out
,Dennis and Dee Get a New Dad (Retcon Episode),Dennis Looks Like a Registered Sex Offender,Sweet Dee Has a Heart Attack,The D.E.N.N.I.S. System,Dee Gives Birth,How Mac Got Fat,Reynolds vs. Reynolds: The Cereal Defense (Callback)
,,The Gang Gets Whacked (Part 1),The Gang Cracks the Liberty Bell,Mac and Charlie Write a Movie,The Gang Gets Stranded in the Woods,Thunder Gun Express,
,,The Gang Gets Whacked (Part 2),The Nightman Cometh,The Gang Reignites the Rivalry,Reynolds vs. Reynolds: The Cereal Defense,The High School Reunion (Part 1),
,,Bums: Making a Mess All Over the City,The Gang Gets Extreme: Home Makeover Edition,,A Very Sunny Christmas,The High School Reunion (Part 2),
,,The Gang Dances Their Asses Off,,,,,
,,The Gang Gets Extreme: Home Makeover Edition,,,,,
